ts_code,indx_name,indx_csname,pub_party_name,pub_date,base_date,bp,adj_circle
931247.CSI,中证信息技术应用创新产业指数,中证信创,中证指数有限公司,20121221,20171229,1000.0,半年
931743.CSI,中证半导体材料设备主题指数,半导体材料设备,中证指数有限公司,20121221,20181228,1000.0,半年
931271.CSI,中证通信设备主题指数,通信设备主题,中证指数有限公司,20121221,20181228,1000.0,半年
931897.CSI,中证绿色电力指数,绿色电力,中证指数有限公司,20121221,20170630,1000.0,半年
399966.SZ,中证800证券保险指数,800证保,中证指数有限公司,20121221,20041231,1000.0,半年
H30035.CSI,沪深300非银行金融指数,300非银,中证指数有限公司,20121221,20041231,1000.0,半年
980092.SZ,国证自由现金流指数,自由现金流,深圳证券信息有限公司,20121228,20121231,1000.0,三个月
980080.CNI,国证成长100指数,成长100,深圳证券信息有限公司,20121228,20121231,1000.0,三个月
980076.SZ,国证通用航空产业指数,通用航空,深圳证券信息有限公司,20121228,20120629,1000.0,半年
980081.CNI,国证价值100指数,价值100,深圳证券信息有限公司,20121228,20121231,1000.0,三个月
399012.SZ,创业板300指数,创业300,深圳证券信息有限公司、深圳证券交易所,20130107,20120629,1000.0,半年
399667.SZ,创业板成长指数,创业成长,深圳证券信息有限公司、深圳证券交易所,20130107,20120629,1000.0,半年
H11077.CSI,上证10年期国债指数,10年国债,中证指数有限公司,20130307,20081231,100.0,三个月
H30106.CSI,中证港股通金融服务指数,港股通金融服务,中证指数有限公司,20130521,20041231,1000.0,半年
931574.CSI,中证香港科技指数,港股科技,中证指数有限公司,20130521,20141231,1000.0,半年
931775.CSI,中证全指房地产指数,房地产,中证指数有限公司,20130715,20041231,1000.0,半年
931009.CSI,中证全指建筑材料指数,建筑材料,中证指数有限公司,20130715,20041231,1000.0,半年
H30171.CSI,中证全指运输指数,运输指数,中证指数有限公司,20130715,20041231,1000.0,半年
H30178.CSI,中证全指医疗保健设备与服务指数,医疗保健,中证指数有限公司,20130715,20041231,1000.0,半年
H30182.CSI,中证全指计算机指数,计算机,中证指数有限公司,20130715,20041231,1000.0,半年
H30184.CSI,中证全指半导体产品与设备指数,半导体,中证指数有限公司,20130715,20041231,1000.0,半年
931160.CSI,中证全指通信设备指数,通信设备,中证指数有限公司,20130715,20041231,1000.0,半年
932217.CSI,中证制药指数,制药指数,中证指数有限公司,20130715,20111230,1000.0,半年
931719.CSI,中证电池主题指数,CS电池,中证指数有限公司,20130715,20141231,1000.0,半年
931892.CSI,中证有色金属矿业主题指数,有色矿业,中证指数有限公司,20130715,20131231,1000.0,半年
H30192.CSI,中证全指食品指数,食品,中证指数有限公司,20130715,20041231,1000.0,半年
931230.CSI,中证汽车零部件主题指数,汽车零部件,中证指数有限公司,20130715,20161230,1000.0,半年
H30198.CSI,中证油气产业指数,油气产业,中证指数有限公司,20130715,20041231,1000.0,半年
H30199.CSI,中证全指电力公用事业指数,电力指数,中证指数有限公司,20130715,20041231,1000.0,半年
H30202.CSI,中证全指软件指数,软件指数,中证指数有限公司,20130715,20041231,1000.0,半年
931008.CSI,中证全指汽车指数,汽车指数,中证指数有限公司,20130715,20041231,1000.0,半年
931992.CSI,中证疫苗与生物技术指数,疫苗生物,中证指数有限公司,20130715,20171229,1000.0,三个月
H30217.CSI,中证全指医疗器械指数,医疗器械,中证指数有限公司,20130715,20041231,1000.0,半年
NBI.NASDAQ,纳斯达克生物技术指数,纳斯达克生物技术指数,美国纳斯达克证券交易所,19931101,19931101,,
H30257.CSI,中证500信息技术指数,500信息,中证指数有限公司,20131106,20041231,1000.0,半年
H11098.CSI,上证城投债指数,沪城投债,中证指数有限公司,20131115,20081231,100.0,一个月
399967.SZ,中证军工指数,中证军工,中证指数有限公司,20131226,20041231,1000.0,半年
H30269.CSI,中证红利低波动指数,红利低波,中证指数有限公司,20131219,20051230,1000.0,一年
H30270.CSI,中证红利价值指数,红利价值,中证指数有限公司,20131219,20051230,1000.0,一年
H30318.CSI,中证科技传媒通信150指数,科技传媒通信150,中证指数有限公司,20140415,20110630,1000.0,半年
399971.SZ,中证传媒指数,中证传媒,中证指数有限公司,20140415,20101231,1000.0,半年
399973.SZ,中证国防指数,中证国防,中证指数有限公司,20140415,20110630,1000.0,半年
399303.SZ,国证2000指数,国证2000,深圳证券信息有限公司,20140328,20091231,3326.4448,半年
931573.CSI,中证港股通科技指数,港股通科技,中证指数有限公司,20140521,20141231,1000.0,半年
931573CNY00.CSI,中证港股通科技人民币指数,港股通科技CNY,中证指数有限公司,20140521,20141231,1000.0,半年
H30352.CSI,中证500价值指数,500价值,中证指数有限公司,20140609,20041231,1000.0,半年
H30356.CSI,中证800价值指数,800价值,中证指数有限公司,20140609,20041231,1000.0,半年
399673.SZ,创业板50指数,创业板50,深圳证券信息有限公司、深圳证券交易所,20140618,20100531,1000.0,半年
H30366.CSI,中证高股息策略指数,高息策略,中证指数有限公司、上海证券交易所,20140721,20041231,1000.0,一年
H30365.CSI,中证文娱传媒指数,文娱传媒,中证指数有限公司、上海证券交易所,20140721,20131231,1000.0,半年
399974.SZ,中证国有企业改革指数,国企改革,中证指数有限公司,20140807,20140331,1000.0,三个月
000852.SH,中证1000指数,中证1000,中证指数有限公司,20141017,20041231,1000.0,半年
H30455.CSI,中证沪港深500指数,沪港深500,中证指数有限公司,20141128,20041231,1000.0,半年
H30463.CSI,中证沪港深500医药卫生指数,沪港深500医药,中证指数有限公司,20141128,20041231,1000.0,半年
CES100.OTH,中华交易服务港股通精选100指数,中华港股通精选100,中华证券交易服务有限公司,20141215,20081231,2000.0,半年
H30533.CSI,中证海外中国互联网50指数,中国互联网50,中证指数有限公司,20141229,20070629,1000.0,半年
399433.SZ,国证交通运输行业指数,国证交运,深圳证券信息有限公司,20141230,20021231,1000.0,半年
399437.SZ,国证证券龙头指数,证券龙头,深圳证券信息有限公司,20141230,20021231,1000.0,半年
399438.SZ,国证绿色电力指数,绿色电力,深圳证券信息有限公司,20141230,20021231,1000.0,半年
399439.SZ,国证石油天然气指数,国证油气,深圳证券信息有限公司,20141230,20021231,1000.0,半年
H30590.CSI,中证机器人指数,机器人,中证指数有限公司,20150210,20101231,1000.0,半年
399441.SZ,国证生物医药指数,生物医药,深圳证券信息有限公司,20150120,20091231,1000.0,半年
H30597.CSI,中证新材料主题指数,新材料,中证指数有限公司,20150213,20081231,1000.0,半年
H50069.CSI,上证港股通指数,港股通,中证指数有限公司、上海证券交易所,20150216,20141114,3000.0,不定期调整
930598.CSI,中证稀土产业指数,稀土产业,中证指数有限公司,20150302,20111231,1000.0,半年
930601.CSI,中证软件服务指数,中证软件,中证指数有限公司,20150310,20041231,1000.0,半年
931663.CSI,中证沪港深消费龙头指数,SHS消费龙头,中证指数有限公司,20150313,20141231,1000.0,半年
980027.SZ,国证新能源电池指数,新能源电池,深圳证券信息有限公司,20150216,20141231,1000.0,半年
CN5075.CNI,国证信息技术创新主题指数,国证信创,深圳证券信息有限公司,20150216,20021231,1000.0,半年
980015.SZ,国证疫苗与生物科技指数,疫苗生科,深圳证券信息有限公司,20150216,20021231,1000.0,半年
980028.SZ,国证龙头家电指数,龙头家电,深圳证券信息有限公司,20150216,20021231,1000.0,半年
CN5082.CNI,国证航天航空行业指数,国证航天,深圳证券信息有限公司,20150216,20021231,1000.0,半年
980017.SZ,国证半导体芯片指数,国证芯片,深圳证券信息有限公司,20150217,20021231,1000.0,半年
980034.CNI,国证工业软件主题指数,工业软件,深圳证券信息有限公司,20150217,20121231,1000.0,半年
980032.SZ,国证新能源车电池指数,新能电池,深圳证券信息有限公司,20150217,20021231,1000.0,半年
980030.SZ,国证消费电子主题指数,消费电子,深圳证券信息有限公司,20150217,20021231,1000.0,半年
980018.SZ,国证商用卫星通信产业指数,卫星通信,深圳证券信息有限公司,20150217,20021231,1000.0,半年
980016.SZ,国证公共卫生与医疗健康指数,医疗健康,深圳证券信息有限公司,20150217,20021231,1000.0,半年
980022.SZ,国证机器人产业指数,机器人产业,深圳证券信息有限公司,20150225,20141231,1000.0,半年
930604.CSI,中证海外中国互联网30指数,中国互联网30,中证指数有限公司,20150323,20070629,1000.0,半年
930606.CSI,中证钢铁指数,中证钢铁,中证指数有限公司,20150331,20081231,1000.0,半年
930608.CSI,中证基建指数,中证基建,中证指数有限公司,20150331,20041231,1000.0,半年
930614.CSI,中证环保产业50指数,环保50,中证指数有限公司,20150407,20111230,1000.0,半年
930625.CSI,中证沪港深互联网指数,SHS互联网,中证指数有限公司,20150421,20120629,1000.0,半年
930633.CSI,中证旅游主题指数,中证旅游,中证指数有限公司,20150508,20081231,1000.0,半年
930632.CSI,中证稀有金属主题指数,CS稀金属,中证指数有限公司,20150512,20111231,1000.0,半年
931580.CSI,中证沪港深游戏及文化传媒指数,SHS游戏传媒,中证指数有限公司,20150513,20141231,1000.0,半年
930641.CSI,中证中药指数,中证中药,中证指数有限公司,20150519,20041231,1000.0,半年
930648.CSI,中证智能消费主题指数,CS智消费,中证指数有限公司,20150605,20120629,1000.0,半年
930651.CSI,中证计算机主题指数,CS计算机,中证指数有限公司,20150605,20041231,1000.0,半年
930652.CSI,中证电子指数,CS电子,中证指数有限公司,20150605,20041231,1000.0,半年
930653.CSI,中证食品饮料指数,CS食品饮,中证指数有限公司,20150605,20041231,1000.0,半年
399975.SZ,中证全指证券公司指数,证券公司,中证指数有限公司,20130715,20070629,1000.0,半年
399976.SZ,中证新能源汽车指数,CS新能车,中证指数有限公司,20141128,20111231,1000.0,半年
399986.SZ,中证银行指数,中证银行,中证指数有限公司,20130715,20041231,1000.0,半年
399987.SZ,中证酒指数,中证酒,中证指数有限公司,20141210,20081231,1000.0,半年
399989.SZ,中证医疗指数,中证医疗,中证指数有限公司,20141031,20041231,1000.0,半年
399994.SZ,中证信息安全主题指数,信息安全,中证指数有限公司,20150312,20101231,1000.0,半年
399995.SZ,中证基建工程指数,基建工程,中证指数有限公司,20150312,20041231,1000.0,半年
399998.SZ,中证煤炭指数,中证煤炭,中证指数有限公司,20150213,20081231,1000.0,半年
930697.CSI,中证全指家用电器指数,家用电器,中证指数有限公司,20150707,20041231,1000.0,半年
930707.CSI,中证畜牧养殖指数,中证畜牧,中证指数有限公司,20150713,20111231,1000.0,半年
930708.CSI,中证有色金属指数,中证有色,中证指数有限公司,20150713,20131231,1000.0,半年
930662.CSI,中证现代农业主题指数,CS现代农,中证指数有限公司,20150713,20101231,1000.0,半年
930709.CSI,中证香港证券投资主题指数,香港证券,中证指数有限公司,20150713,20121231,1000.0,半年
399808.SZ,中证新能源指数,中证新能,中证指数有限公司,20150210,20111231,1000.0,半年
930716.CSI,中证现代物流指数,CS物流,中证指数有限公司,20150731,20111230,1000.0,半年
930712.CSI,中证物联网主题指数,CS物联网,中证指数有限公司,20150731,20120629,1000.0,半年
930713.CSI,中证人工智能主题指数,CS人工智,中证指数有限公司,20150731,20120629,1000.0,半年
931575.CSI,中证沪港深物联网主题指数,SHS物联网,中证指数有限公司,20150731,20121231,1000.0,半年
930725.CSI,中证车联网主题指数,CS车联网,中证指数有限公司,20150805,20101231,1000.0,半年
930726.CSI,中证生物医药指数,CS生医,中证指数有限公司,20150805,20120629,1000.0,半年
930721.CSI,中证智能汽车主题指数,CS智汽车,中证指数有限公司,20150805,20120629,1000.0,三个月
930743.CSI,中证生物科技主题指数,中证生科,中证指数有限公司,20150826,20111231,1000.0,半年
399812.SZ,中证养老产业指数,养老产业,中证指数有限公司、上海证券交易所,20140606,20041231,1000.0,半年
399814.SZ,中证大农业指数,大农业,中证指数有限公司,20140722,20131231,1000.0,半年
930782.CSI,中证500行业中性低波动指数,500SNLV,中证指数有限公司,20160204,20041231,1000.0,半年
930781.CSI,中证影视主题指数,中证影视,中证指数有限公司,20160204,20120629,1000.0,半年
930796.CSI,中证全球中国互联网指数,全球中国互联网,中证指数有限公司,20160422,20131231,1000.0,半年
930821.CSI,中证虚拟现实主题指数,中证VR,中证指数有限公司,20160511,20120629,1000.0,三个月
