ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000001.SH,20161014,3063.8086,3056.9927,3064.7895,3043.1841,3061.3458,2.4628,0.0804,155373705,163792994.6432
000001.SH,20161013,3061.3458,3057.9724,3064.9989,3052.6403,3058.4981,2.8477,0.0931,154756725,166335869.0751
000001.SH,20161012,3058.4981,3057.3163,3060.5142,3048.8881,3065.2497,-6.7516,-0.2203,142493577,159982961.3605
000001.SH,20161011,3065.2497,3051.6216,3066.104,3048.0175,3048.1428,17.1069,0.5612,167273496,183787648.3495
000001.SH,20161010,3048.1428,3020.4566,3048.2358,3014.6198,3004.703,43.4398,1.4457,160051104,175521792.5798
000001.SH,20160930,3004.703,2994.2507,3009.1953,2993.0617,2998.4827,6.2203,0.2074,101333562,112794538.4783
000001.SH,20160929,2998.4827,2992.1683,3009.1984,2991.9088,2987.8576,10.6251,0.3556,113213919,122728570.07
000001.SH,20160928,2987.8576,3000.6954,3000.6954,2984.3206,2998.1723,-10.3147,-0.344,104625697,116437377.4882
000001.SH,20160927,2998.1723,2974.593,2998.2333,2969.1321,2980.4295,17.7428,0.5953,121701450,133372708.3939
000001.SH,20160926,2980.4295,3028.2428,3028.2428,2980.1169,3033.8956,-53.4661,-1.7623,144330286,162257246.4187
000001.SH,20160923,3033.8956,3044.7858,3046.8047,3032.8023,3042.3132,-8.4176,-0.2767,125590976,147377736.3324
000001.SH,20160922,3042.3132,3038.422,3054.4351,3035.0703,3025.8736,16.4396,0.5433,139309554,159031064.1316
000001.SH,20160921,3025.8736,3021.5762,3032.4503,3017.5408,3022.9995,2.8741,0.0951,115721213,134133726.4025
000001.SH,20160920,3022.9995,3027.1717,3027.8165,3015.8804,3026.0513,-3.0518,-0.1009,118924117,139662303.1581
000001.SH,20160919,3026.0513,3005.3228,3026.6512,3005.3228,3002.8486,23.2027,0.7727,119225027,133168828.0761
000001.SH,20160914,3002.8486,3008.9044,3017.9447,2995.4156,3023.5095,-20.6609,-0.6833,133413401,148148969.9086
000001.SH,20160913,3023.5095,3025.0345,3029.7208,3008.7405,3021.9771,1.5324,0.0507,135387580,152791306.0183
000001.SH,20160912,3021.9771,3037.5073,3040.9522,2999.9288,3078.8548,-56.8777,-1.8474,206012086,221846569.0084
000001.SH,20160909,3078.8548,3095.4269,3101.7922,3078.2183,3095.9543,-17.0995,-0.5523,160692924,182056232.5197
000001.SH,20160908,3095.9543,3089.9529,3096.7832,3083.9015,3091.9281,4.0262,0.1302,145883771,165944472.7338
000001.SH,20160907,3091.9281,3091.3287,3105.6775,3087.8794,3090.7127,1.2154,0.0393,186956763,207162121.4739
000001.SH,20160906,3090.7127,3071.0554,3095.5092,3053.1868,3072.0953,18.6174,0.606,172908524,193057729.1078
000001.SH,20160905,3072.0953,3070.707,3085.4853,3065.329,3067.352,4.7433,0.1546,144963317,161243675.2968
000001.SH,20160902,3067.352,3057.4945,3072.5258,3050.4924,3063.3054,4.0466,0.1321,150446920,170592139.8653
000001.SH,20160901,3063.3054,3083.9606,3088.7043,3062.8763,3085.491,-22.1856,-0.719,155191093,177093295.2798
000001.SH,20160831,3085.491,3072.9164,3087.6977,3063.3963,3074.6768,10.8142,0.3517,141368609,168986117.6783
000001.SH,20160830,3074.6768,3071.4404,3082.9879,3065.9713,3070.0273,4.6495,0.1514,140434811,163878823.0435
000001.SH,20160829,3070.0273,3068.4602,3074.9433,3058.7853,3070.3088,-0.2815,-0.0092,144500007,166397346.2218
000001.SH,20160826,3070.3088,3069.8504,3087.6522,3063.894,3068.3294,1.9794,0.0645,149663901,176309498.242
000001.SH,20160825,3068.3294,3073.4441,3073.4441,3041.5053,3085.8804,-17.551,-0.5688,174032980,200859751.3511
000001.SH,20160824,3085.8804,3092.0197,3097.1483,3079.5478,3089.7055,-3.8251,-0.1238,145707440,168362528.4881
000001.SH,20160823,3089.7055,3081.5717,3101.1095,3073.5292,3084.8051,4.9004,0.1589,161368965,179183487.6746
000001.SH,20160822,3084.8051,3107.3812,3112.7395,3083.5932,3108.102,-23.2969,-0.7496,185387927,207638874.518
000001.SH,20160819,3108.102,3100.3912,3113.3438,3082.771,3104.1138,3.9882,0.1285,194347453,212050971.1113
000001.SH,20160818,3104.1138,3107.7527,3125.5812,3093.3171,3109.5549,-5.4411,-0.175,229359081,256969677.0168
000001.SH,20160817,3109.5549,3106.9911,3114.2545,3090.2811,3110.0369,-0.482,-0.0155,213839637,243405250.6117
000001.SH,20160816,3110.0369,3130.5333,3140.4408,3102.0653,3125.1952,-15.1583,-0.485,278328934,308544861.1784
000001.SH,20160815,3125.1952,3056.4835,3137.4763,3053.8705,3050.6674,74.5278,2.443,297616506,327991129.2679
000001.SH,20160812,3050.6674,3000.2731,3051.0541,2999.039,3002.6376,48.0298,1.5996,168173657,179304885.1623
000001.SH,20160811,3002.6376,3013.6776,3038.0478,3001.1681,3018.7459,-16.1083,-0.5336,161879481,179861525.6276
000001.SH,20160810,3018.7459,3023.4724,3033.1964,3017.0903,3025.6805,-6.9346,-0.2292,164675165,184525184.7226
000001.SH,20160809,3025.6805,3001.3063,3025.9108,2998.6766,3004.2767,21.4038,0.7124,169995446,187716865.3444
000001.SH,20160808,3004.2767,2972.6248,3004.7182,2959.0477,2976.6962,27.5805,0.9265,155729833,172089654.2594
000001.SH,20160805,2976.6962,2978.7776,2991.6767,2971.5638,2982.4261,-5.7299,-0.1921,141857101,161795980.4054
000001.SH,20160804,2982.4261,2976.4096,2982.8601,2958.9332,2978.4608,3.9653,0.1331,133933301,153307963.5067
000001.SH,20160803,2978.4608,2963.2145,2981.1555,2956.7856,2971.2787,7.1821,0.2417,141141332,159088262.5249
000001.SH,20160802,2971.2787,2950.0796,2971.2787,2946.6365,2953.3854,17.8933,0.6059,115468900,129266872.7108
000001.SH,20160801,2953.3854,2971.9491,2972.8751,2931.9633,2979.3388,-25.9534,-0.8711,147407763,162372674.3228
000001.SH,20160729,2979.3388,2992.5355,3000.0546,2972.9166,2994.3234,-14.9846,-0.5004,150101534,170198566.5521
000001.SH,20160728,2994.3234,2980.5012,3003.3631,2968.182,2991.9991,2.3243,0.0777,190564950,217626998.7632
000001.SH,20160727,2991.9991,3050.3675,3057.4237,2939.2273,3050.1661,-58.167,-1.907,280160915,316811388.9074
000001.SH,20160726,3050.1661,3014.0397,3050.6145,3013.8021,3015.8278,34.3383,1.1386,156694506,185474467.7049
000001.SH,20160725,3015.8278,3008.0937,3027.1228,3003.2921,3012.8157,3.0121,0.1,144206582,175422000.8187
000001.SH,20160722,3012.8157,3038.1182,3039.27,3007.4567,3039.0091,-26.1934,-0.8619,162010181,197517350.3596
000001.SH,20160721,3039.0091,3027.6042,3053.3336,3027.3676,3027.8995,11.1096,0.3669,163767370,200278455.5462
000001.SH,20160720,3027.8995,3034.7139,3042.997,3022.6309,3036.5979,-8.6984,-0.2865,138242815,171472917.2205
000001.SH,20160719,3036.5979,3040.2257,3043.5999,3014.2889,3043.5643,-6.9664,-0.2289,155361466,187206723.2136
000001.SH,20160718,3043.5643,3047.6373,3058.3214,3031.6388,3054.296,-10.7317,-0.3514,177496562,206667709.2652
000001.SH,20160715,3054.296,3056.6817,3062.6832,3044.5375,3054.0182,0.2778,0.0091,172866398,202840549.5799
